# Engine name: Sugar Rocket
# Tue Mar 14 00:46:59 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      0.2729      0.0000      4.0000      0.0000   1498.5655     39.2992      1.1559      1.1116    850.2945    111.1945    130.4621      1.4237      1.6353      0.8762 
     1.9140      0.2747      0.0000      4.0000      0.0000   1498.9004     39.3033      1.1558      1.1116    850.3934    111.2127    130.4793      1.4237      1.6353      0.8763 
     1.9140      0.2765      0.0000      4.0000      0.0000   1499.2328     39.3074      1.1557      1.1117    850.4916    111.2306    130.4963      1.4237      1.6353      0.8763 
     1.9140      0.2783      0.0000      4.0000      0.0000   1499.5628     39.3114      1.1556      1.1117    850.5890    111.2485    130.5131      1.4237      1.6353      0.8764 
     1.9140      0.2801      0.0000      4.0000      0.0000   1499.8903     39.3154      1.1555      1.1117    850.6858    111.2661    130.5298      1.4237      1.6352      0.8765 
     1.9140      0.2819      0.0000      4.0000      0.0000   1500.2155     39.3194      1.1555      1.1118    850.7819    111.2837    130.5464      1.4237      1.6352      0.8766 
     1.9140      0.2837      0.0000      4.0000      0.0000   1500.5383     39.3234      1.1554      1.1118    850.8773    111.3011    130.5629      1.4237      1.6352      0.8767 
     1.9140      0.2855      0.0000      4.0000      0.0000   1500.8588     39.3273      1.1553      1.1118    850.9721    111.3183    130.5792      1.4237      1.6352      0.8768 
     1.9140      0.2873      0.0000      4.0000      0.0000   1501.1770     39.3312      1.1552      1.1119    851.0662    111.3354    130.5953      1.4237      1.6352      0.8768 
     1.9140      0.2891      0.0000      4.0000      0.0000   1501.4929     39.3350      1.1551      1.1119    851.1596    111.3524    130.6114      1.4237      1.6351      0.8769 
     1.9140      0.2909      0.0000      4.0000      0.0000   1501.8066     39.3389      1.1550      1.1119    851.2524    111.3692    130.6273      1.4237      1.6351      0.8770 
